ID,DESC_CLASIFICACION,COD_BARRIO,BARRIO,COD_DISTRITO,DISTRITO,ESTADO,COORD_GIS_X,COORD_GIS_Y,SISTEMA_COORD,LATITUD,LONGITUD,TIPO_VIA,NOM_VIA,NUM_VIA,COD_POSTAL,DIRECCION_AUX,NDP,FECHA_INSTALACION,CODIGO_INTERNO,CONTRATO_COD,TOTAL_ELEM,TIPO
16771,AREA INFANTIL,36,NINO JESUS,3,RETIRO,OPERATIVO,442795.79,4473226.83,ETRS89,40.40769234,-3.67417882,CALLE,CONDE DE CARTAGENA,21,28007,"CALLE CONDE CARTAGENA  , ASCENDIENTE 1: 036 ",11013283,2005-07-26T00:00:00,3001,AE21,11,INFANTIL
16773,AREA INFANTIL,35,LOS JERONIMOS,3,RETIRO,OPERATIVO,442084.782,4473271.954,ETRS89,40.40804968,-3.68256193,CALLE,ANDRES TORREJON,19,28014,"CALLE ANDRES TORREJON 22 , ASCENDIENTE 1: 035",20008546,16773-FECHA_INSTALACION-ausente,3003,AE21,14,INFANTIL
16777,AREA INFANTIL,33,ESTRELLA,3,RETIRO,OPERATIVO,443340.71,4473587.24,ETRS89,40.41097638,-3.66778918,CALLE,ASTROS,14,28007,"CALLE ASTROS , ASCENDIENTE 1: 033  BARRIO DE",11011893,16777-FECHA_INSTALACION-ausente,3008,AE21,15,INFANTIL
16781,AREA INFANTIL,32,ADELFAS,3,RETIRO,OPERATIVO,443038.458,4472032.091,ETRS89,40.39694611,-3.67121213,CALLE,CERRO NEGRO,5,28007,"CALLE CERRO NEGRO 2 C/ JATIVA , ASCENDIENTE 1: 032  ADEL",31020470,2004-01-01T00:00:00,3011,AE21,12,INFANTIL
16783,AREA INFANTIL,36,NINO JESUS,3,RETIRO,OPERATIVO,443028.537,4473420.431,ETRS89,40.40945237,-3.67145329,CALLE,JESUS APRENDIZ,19,28007,"CALLE JESUS APRENDIZ 19 , ASCENDIENTE 1: 036",11013344,2005-12-17T00:00:00,3014,AE21,7,INFANTIL
16785,AREA INFANTIL,32,ADELFAS,3,RETIRO,OPERATIVO,443300.13,4472787.02,ETRS89,40.40376479,-3.66819613,CALLE,LUIS MITJANS,56,28007,"PARQUE ADELFAS , ASCENDIENTE 1: 032  ADELFA",20008476,2006-11-17T00:00:00,3016,AE21,8,INFANTIL
16787,AREA INFANTIL,36,NINO JESUS,3,RETIRO,OPERATIVO,442995.25,4474087.81,ETRS89,40.4154622,-3.67190538,PLAZA,DOCTOR LAGUNA,6,28009,"PLAZA DOCTOR LAGUNA 6 , ASCENDIENTE 1: 036",11013587,2006-03-22T00:00:00,3018,AE21,9,INFANTIL
16790,AREA INFANTIL,36,NINO JESUS,3,RETIRO,OPERATIVO,442640.009,4473698.876,ETRS89,40.41193407,-3.6760572,CALLE,ANUNCIACION,4,28009,"CALLE ANUNCIACION 4 , ASCENDIENTE 1: 036  BA",11013529,2006-10-02T00:00:00,3020,AE21,29,INFANTIL
16792,AREA INFANTIL,33,ESTRELLA,3,RETIRO,OPERATIVO,443378.82,4474463.31,ETRS89,40.41887109,-3.66741802,CALLE,VAQUERIAS,8,28007,"CALLE VAQUERIAS , ASCENDIENTE 1: 033  BARRIO",20150583,2005-07-26T00:00:00,3022,AE21,9,INFANTIL
16812,AREA INFANTIL,33,ESTRELLA,3,RETIRO,OPERATIVO,443873.7,4474309.32,ETRS89,40.41751739,-3.66157144,CALLE,JUAN ESPLANDIU,12,28007,"PARQUE ROMA , ASCENDIENTE 1: 033  BARRIO DE",11013639,2006-12-14T00:00:00,3042,AE21,13,INFANTIL
16815,AREA INFANTIL,32,ADELFAS,3,RETIRO,OPERATIVO,443196.31,4472743.82,ETRS89,40.40336855,-3.6694157,CALLE,LUIS MITJANS,52,28007,"CALLE LUIS MITJANS 56 , ASCENDIENTE 1: 032 ",20182671,16815-FECHA_INSTALACION-ausente,3045,AE21,8,INFANTIL
16821,AREA INFANTIL,31,PACIFICO,3,RETIRO,OPERATIVO,441940.419,4472733.715,ETRS89,40.40319089,-3.68421411,CALLE,ANTONIO NEBRIJA,9,28007,"CALLE TELLEZ , ASCENDIENTE 1: 031  PACIFIC",31021357,2006-09-20T00:00:00,3051,AE21,13,INFANTIL
17070,AREA INFANTIL,86,VALVERDE,8,FUENCARRAL - EL PARDO,OPERATIVO,441826.28,4481650.04,ETRS89,40.48350531,-3.68637565,CALLE,SAN MODESTO,6,28034,"CALLE SAN MODESTO 6 , JUNTO AL METRO (ZONA I)",11047029,17070-FECHA_INSTALACION-ausente,8083,AE21,8,INFANTIL
17073,AREA INFANTIL,83,PENAGRANDE,8,FUENCARRAL - EL PARDO,OPERATIVO,439156.65,4481448.16,ETRS89,40.48149537,-3.71785221,CALLE,ISLA DE TAVIRA,6,28035,"CALLE ISLAS CIES CON ISLA DE TAVIRA (II), ASCENDIENTE 1: 083  PENAG",20015634,2006-02-20T00:00:00,8088,AE21,6,INFANTIL
17075,AREA INFANTIL,85,LA PAZ,8,FUENCARRAL - EL PARDO,OPERATIVO,440895.076,4481074.139,ETRS89,40.47825161,-3.69730822,CALLE,VILLA DE MARIN,51,28029,"CALLE VILLA DEL MARIN 51 , ASCENDIENTE 1: 085",20098088,2007-02-14T00:00:00,8090,AE21,13,INFANTIL
